EVENT,RedFighter vs. BlueFighter,FIGHTER,KD,SUB.ATT,REV.,SIG.STR._LANDED,SIG.STR._ATTEMPTS,TOTAL STR._LANDED,TOTAL STR._ATTEMPTS,TD_LANDED,TD_ATTEMPTS,HEAD_LANDED,HEAD_ATTEMPTS,BODY_LANDED,BODY_ATTEMPTS,LEG_LANDED,LEG_ATTEMPTS,DISTANCE_LANDED,DISTANCE_ATTEMPTS,CLINCH_LANDED,CLINCH_ATTEMPTS,GROUND_LANDED,GROUND_ATTEMPTS,TOTAL CTRL IN SEC,ROUND,RedFighter,BlueFighter,CleanEvent,Date
ortiz vs shamrock 3: the final chapter,Jason MacDonald vs. Ed Herman,Ed Herman,0,0,1,2,2,5,5,1,2,0,0,0,0,2,2,2,2,0,0,0,0,0,1,Jason MacDonald,Ed Herman,ortiz vs shamrock 3 the final chapter,10/10/2006
ortiz vs shamrock 3: the final chapter,Jason MacDonald vs. Ed Herman,Jason MacDonald,0,2,1,5,7,14,16,0,1,4,5,0,0,1,2,2,4,0,0,3,3,0,1,Jason MacDonald,Ed Herman,ortiz vs shamrock 3 the final chapter,10/10/2006
ortiz vs shamrock 3: the final chapter,Kendall Grove vs. Chris Price,Chris Price,0,0,1,5,10,7,12,0,0,2,7,3,3,0,0,2,5,3,3,0,2,0,1,Kendall Grove,Chris Price,ortiz vs shamrock 3 the final chapter,10/10/2006
ortiz vs shamrock 3: the final chapter,Kendall Grove vs. Chris Price,Kendall Grove,0,1,1,13,26,22,36,1,1,12,25,1,1,0,0,1,4,1,1,11,21,0,1,Kendall Grove,Chris Price,ortiz vs shamrock 3 the final chapter,10/10/2006
ortiz vs shamrock 3: the final chapter,Marcus Davis vs. Forrest Petz,Forrest Petz,0,0,0,5,18,19,35,0,0,2,14,2,3,1,1,1,9,4,9,0,0,0,1,Marcus Davis,Forrest Petz,ortiz vs shamrock 3 the final chapter,10/10/2006
ortiz vs shamrock 3: the final chapter,Marcus Davis vs. Forrest Petz,Marcus Davis,0,1,0,33,50,66,88,0,0,17,33,8,9,8,8,5,11,20,24,8,15,0,1,Marcus Davis,Forrest Petz,ortiz vs shamrock 3 the final chapter,10/10/2006
ortiz vs shamrock 3: the final chapter,Matt Hamill vs. Seth Petruzelli,Matt Hamill,0,0,0,14,40,105,148,7,11,11,37,0,0,3,3,8,29,3,5,3,6,0,3,Matt Hamill,Seth Petruzelli,ortiz vs shamrock 3 the final chapter,10/10/2006
ortiz vs shamrock 3: the final chapter,Matt Hamill vs. Seth Petruzelli,Seth Petruzelli,1,1,0,25,58,54,88,0,0,11,41,8,10,6,7,21,49,3,6,1,3,0,3,Matt Hamill,Seth Petruzelli,ortiz vs shamrock 3 the final chapter,10/10/2006
ortiz vs shamrock 3: the final chapter,Nate Marquardt vs. Crafton Wallace,Crafton Wallace,0,0,0,4,18,27,41,0,0,3,16,0,1,1,1,4,17,0,0,0,1,0,2,Nate Marquardt,Crafton Wallace,ortiz vs shamrock 3 the final chapter,10/10/2006
ortiz vs shamrock 3: the final chapter,Nate Marquardt vs. Crafton Wallace,Nate Marquardt,0,2,1,13,27,31,47,2,3,7,20,2,2,4,5,7,16,0,0,6,11,0,2,Nate Marquardt,Crafton Wallace,ortiz vs shamrock 3 the final chapter,10/10/2006
ortiz vs shamrock 3: the final chapter,Rory Singer vs. Josh Haynes,Josh Haynes,1,0,0,23,101,32,113,1,6,15,87,4,9,4,5,12,74,2,7,9,20,0,3,Rory Singer,Josh Haynes,ortiz vs shamrock 3 the final chapter,10/10/2006
ortiz vs shamrock 3: the final chapter,Rory Singer vs. Josh Haynes,Rory Singer,0,0,0,50,123,57,130,0,1,44,117,5,5,1,1,38,100,12,22,0,1,0,3,Rory Singer,Josh Haynes,ortiz vs shamrock 3 the final chapter,10/10/2006
ortiz vs shamrock 3: the final chapter,Thiago Alves vs. John Alessio,John Alessio,0,0,0,13,82,18,87,2,10,12,79,0,2,1,1,10,72,2,9,1,1,0,3,Thiago Alves,John Alessio,ortiz vs shamrock 3 the final chapter,10/10/2006
ortiz vs shamrock 3: the final chapter,Thiago Alves vs. John Alessio,Thiago Alves,0,0,0,63,142,84,164,0,0,27,95,11,13,25,34,41,104,15,23,7,15,0,3,Thiago Alves,John Alessio,ortiz vs shamrock 3 the final chapter,10/10/2006
ortiz vs shamrock 3: the final chapter,Tito Ortiz vs. Ken Shamrock,Ken Shamrock,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Tito Ortiz,Ken Shamrock,ortiz vs shamrock 3 the final chapter,10/10/2006
ortiz vs shamrock 3: the final chapter,Tito Ortiz vs. Ken Shamrock,Tito Ortiz,0,0,0,18,29,38,52,1,1,15,25,1,1,2,3,0,2,3,3,15,24,0,1,Tito Ortiz,Ken Shamrock,ortiz vs shamrock 3 the final chapter,10/10/2006
